online_order,book_table,location,approx_cost,category,city,status,stacked_cuisines,stacked_rest_type
No,No,Sarjapur Road,300.0,Desserts,Bellandur,1,Desserts,Dessert Parlor
Yes,Yes,Bellandur,1400.0,Delivery,Bellandur,1,Mexican,Casual Dining
Yes,Yes,Bannerghatta Road,900.0,Delivery,Basavanagudi,1,Arabian,Casual Dining
Yes,Yes,Jayanagar,1000.0,Delivery,Banashankari,1,Andhra,Bar
Yes,No,JP Nagar,450.0,Dine-out,Bannerghatta Road,1,Sandwich,Cafe
Yes,No,Bellandur,250.0,Dine-out,Bellandur,0,North Indian,Sweet Shop
No,Yes,Shanti Nagar,800.0,Desserts,Brigade Road,1,North Indian,Casual Dining
Yes,No,Ulsoor,700.0,Cafes,Brigade Road,1,Continental,Cafe
Yes,Yes,Brigade Road,700.0,Delivery,Brigade Road,1,Konkan,Casual Dining
Yes,No,Sarjapur Road,800.0,Delivery,Bellandur,0,North Indian,Casual Dining
Yes,No,Bannerghatta Road,450.0,Delivery,Bannerghatta Road,0,North Indian,Delivery
Yes,No,Marathahalli,650.0,Delivery,Bellandur,1,Biryani,Casual Dining
Yes,No,JP Nagar,300.0,Delivery,Bannerghatta Road,1,Desserts,Delivery
Yes,No,Residency Road,400.0,Delivery,Brigade Road,1,Kebab,Quick Bites
Yes,No,Brigade Road,500.0,Dine-out,Brigade Road,0,Burger,Quick Bites
Yes,Yes,JP Nagar,1100.0,Dine-out,Bannerghatta Road,1,Continental,Bar
Yes,No,Basavanagudi,600.0,Delivery,Banashankari,0,Cafe,Cafe
Yes,No,Bellandur,350.0,Delivery,Bellandur,0,Fast Food,Quick Bites
Yes,No,Banashankari,750.0,Delivery,Basavanagudi,1,Fast Food,Casual Dining
No,No,Lavelle Road,1200.0,Cafes,Brigade Road,1,Italian,Quick Bites
Yes,No,Banashankari,600.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
Yes,No,Bannerghatta Road,400.0,Delivery,Bannerghatta Road,1,Fast Food,Beverage Shop
Yes,No,HSR,200.0,Delivery,Bellandur,1,Chinese,Quick Bites
Yes,No,Wilson Garden,450.0,Delivery,Brigade Road,1,Chinese,Casual Dining
No,No,Bellandur,2000.0,Buffet,Bellandur,1,North Indian,Casual Dining
Yes,Yes,Marathahalli,1200.0,Delivery,Bellandur,1,Chinese,Pub
Yes,No,Bellandur,500.0,Delivery,Bellandur,1,Fast Food,Takeaway
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,1,South Indian,Casual Dining
No,Yes,JP Nagar,1000.0,Dine-out,Bannerghatta Road,1,South Indian,Casual Dining
Yes,No,Shanti Nagar,700.0,Delivery,Basavanagudi,0,Mughlai,Casual Dining
Yes,Yes,JP Nagar,800.0,Cafes,Bannerghatta Road,1,Continental,Cafe
Yes,Yes,St. Marks Road,1400.0,Dine-out,Brigade Road,1,Asian,Casual Dining
Yes,No,Ulsoor,700.0,Desserts,Brigade Road,1,Beverages,Cafe
Yes,Yes,Marathahalli,1700.0,Delivery,Bellandur,1,European,Casual Dining
Yes,No,Banashankari,150.0,Delivery,Banashankari,0,Sandwich,Quick Bites
Yes,No,Bannerghatta Road,250.0,Dine-out,Bannerghatta Road,0,Tea,Beverage Shop
Yes,Yes,Lavelle Road,1300.0,Dine-out,Brigade Road,1,Chinese,Bar
Yes,Yes,Brigade Road,1600.0,Dine-out,Brigade Road,1,Pizza,Casual Dining
Yes,No,Marathahalli,700.0,Desserts,Bellandur,0,North Indian,Cafe
Yes,Yes,BTM,900.0,Delivery,Basavanagudi,1,Continental,Cafe
No,Yes,Brigade Road,650.0,Delivery,Brigade Road,1,North Indian,Casual Dining
No,No,Church Street,900.0,Delivery,Brigade Road,1,Salad,Casual Dining
Yes,No,Ulsoor,800.0,Delivery,Brigade Road,1,Continental,Cafe
No,No,Basavanagudi,550.0,Delivery,Basavanagudi,1,Chinese,Casual Dining
Yes,No,Indiranagar,400.0,Delivery,Brigade Road,1,Rolls,Quick Bites
Yes,No,JP Nagar,500.0,Delivery,Basavanagudi,1,Italian,Cafe
No,No,Jayanagar,600.0,Delivery,Basavanagudi,0,North Indian,Casual Dining
Yes,No,Jayanagar,800.0,Delivery,Banashankari,1,Pizza,Casual Dining
No,Yes,Brigade Road,1500.0,Dine-out,Brigade Road,1,Continental,Casual Dining
Yes,No,Bellandur,500.0,Desserts,Bellandur,1,Desserts,Dessert Parlor
No,No,Brigade Road,1500.0,Dine-out,Brigade Road,1,South Indian,Casual Dining
Yes,No,Jayanagar,200.0,Desserts,Basavanagudi,1,South Indian,Quick Bites
Yes,No,Church Street,400.0,Desserts,Brigade Road,1,Beverages,Beverage Shop
Yes,Yes,Sarjapur Road,1200.0,Pubs and bars,Bellandur,1,Asian,Pub
Yes,Yes,Lavelle Road,1700.0,Dine-out,Brigade Road,1,Continental,Microbrewery
No,Yes,MG Road,2500.0,Cafes,Brigade Road,1,Salad,Casual Dining
Yes,No,Indiranagar,250.0,Delivery,Brigade Road,1,Fast Food,Quick Bites
Yes,No,Frazer Town,300.0,Delivery,Brigade Road,0,Desserts,Quick Bites
No,No,Ulsoor,750.0,Dine-out,Brigade Road,1,Salad,Cafe
Yes,No,Sarjapur Road,300.0,Delivery,Bellandur,1,Rolls,Quick Bites
Yes,Yes,Lavelle Road,1300.0,Delivery,Brigade Road,1,Parsi,Irani Cafee
Yes,No,Jayanagar,400.0,Cafes,Basavanagudi,1,Fast Food,Cafe
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,North Indian,Pub
No,No,Basavanagudi,150.0,Delivery,Basavanagudi,1,Fast Food,Quick Bites
No,No,JP Nagar,1000.0,Dine-out,Bannerghatta Road,1,North Indian,Lounge
Yes,No,Jayanagar,700.0,Delivery,Basavanagudi,1,Beverages,Cafe
Yes,No,Bannerghatta Road,550.0,Buffet,Bannerghatta Road,0,Chinese,Casual Dining
No,Yes,Jayanagar,800.0,Delivery,Basavanagudi,1,Chinese,Cafe
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,1,Desserts,Dessert Parlor
Yes,No,Bannerghatta Road,400.0,Dine-out,Bannerghatta Road,0,North Indian,Casual Dining
Yes,No,Sarjapur Road,400.0,Dine-out,Bellandur,0,Kerala,Quick Bites
Yes,Yes,Lavelle Road,1500.0,Delivery,Brigade Road,1,Salad,Casual Dining
No,No,Ulsoor,750.0,Delivery,Brigade Road,1,Salad,Cafe
Yes,No,Jayanagar,200.0,Delivery,Banashankari,1,South Indian,Quick Bites
Yes,Yes,Jayanagar,1200.0,Delivery,Basavanagudi,1,Chinese,Casual Dining
Yes,No,Banashankari,550.0,Dine-out,Banashankari,1,Beverages,Cafe
No,Yes,MG Road,3000.0,Dine-out,Brigade Road,1,Momos,Fine Dining
Yes,Yes,Bannerghatta Road,900.0,Dine-out,Bannerghatta Road,1,Seafood,Casual Dining
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,1,Rolls,Casual Dining
No,Yes,Bellandur,1600.0,Dine-out,Bellandur,1,Italian,Bar
Yes,Yes,Residency Road,800.0,Cafes,Brigade Road,1,Desserts,Cafe
No,Yes,Shanti Nagar,800.0,Desserts,Brigade Road,1,North Indian,Casual Dining
Yes,No,Bellandur,250.0,Dine-out,Bellandur,0,Mithai,Sweet Shop
Yes,No,Jayanagar,900.0,Delivery,Basavanagudi,1,South Indian,Casual Dining
No,Yes,Church Street,1000.0,Cafes,Brigade Road,1,Cafe,Cafe
Yes,No,Race Course Road,1500.0,Delivery,Brigade Road,1,Chinese,Casual Dining
No,Yes,Shanti Nagar,1400.0,Dine-out,Brigade Road,1,Japanese,Casual Dining
Yes,Yes,Sarjapur Road,1300.0,Delivery,Bellandur,1,North Indian,Pub
No,No,Banashankari,850.0,Delivery,Basavanagudi,0,Chinese,Casual Dining
Yes,No,Jayanagar,500.0,Desserts,Basavanagudi,1,Fast Food,Dessert Parlor
Yes,Yes,HSR,1800.0,Delivery,Bellandur,1,North Indian,Casual Dining
Yes,No,St. Marks Road,400.0,Delivery,Brigade Road,1,Ice Cream,Dessert Parlor
Yes,No,Bellandur,600.0,Desserts,Bellandur,0,Fast Food,Bakery
No,No,Bannerghatta Road,400.0,Dine-out,Bannerghatta Road,0,North Indian,Casual Dining
Yes,No,Jayanagar,400.0,Dine-out,Basavanagudi,1,South Indian,Casual Dining
Yes,Yes,Sarjapur Road,1300.0,Delivery,Bellandur,1,Chinese,Pub
Yes,No,Banashankari,500.0,Delivery,Banashankari,1,Fast Food,Takeaway
Yes,No,Banashankari,800.0,Delivery,Basavanagudi,1,Continental,Cafe
No,No,St. Marks Road,900.0,Delivery,Brigade Road,1,Steak,Cafe
No,No,Jayanagar,400.0,Cafes,Basavanagudi,0,Cafe,Cafe
Yes,Yes,Indiranagar,1200.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,No,Sarjapur Road,750.0,Desserts,Bellandur,1,Bakery,Bakery
Yes,No,Jayanagar,400.0,Dine-out,Basavanagudi,1,South Indian,Quick Bites
No,Yes,Marathahalli,1300.0,Buffet,Bellandur,1,Italian,Casual Dining
No,Yes,Sarjapur Road,1900.0,Dine-out,Bellandur,1,Continental,Lounge
Yes,Yes,St. Marks Road,1700.0,Delivery,Brigade Road,1,Japanese,Casual Dining
Yes,Yes,Cunningham Road,1000.0,Delivery,Brigade Road,1,Cafe,Casual Dining
Yes,Yes,Shivajinagar,1300.0,Buffet,Brigade Road,1,Lucknowi,Casual Dining
Yes,Yes,JP Nagar,1600.0,Drinks & nightlife,Bannerghatta Road,1,American,Microbrewery
No,Yes,Marathahalli,2500.0,Drinks & nightlife,Bellandur,1,French,Lounge
No,Yes,Shanti Nagar,800.0,Delivery,Brigade Road,1,Continental,Casual Dining
No,No,Bannerghatta Road,500.0,Cafes,Bannerghatta Road,1,Juices,Cafe
Yes,No,Jayanagar,750.0,Delivery,Bannerghatta Road,1,Continental,Cafe
Yes,Yes,JP Nagar,1000.0,Buffet,Bannerghatta Road,1,North Indian,Casual Dining
No,No,Lavelle Road,1400.0,Cafes,Brigade Road,1,Bakery,Cafe
Yes,No,Banashankari,700.0,Cafes,Banashankari,1,Italian,Cafe
Yes,No,Jayanagar,400.0,Delivery,Banashankari,0,Ice Cream,Dessert Parlor
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,Mangalorean,Casual Dining
No,No,Lavelle Road,1400.0,Cafes,Brigade Road,1,Burger,Cafe
No,No,Bellandur,2000.0,Buffet,Bellandur,1,Finger Food,Lounge
No,No,Frazer Town,200.0,Desserts,Brigade Road,1,Fast Food,Quick Bites
Yes,No,Bellandur,500.0,Delivery,Bellandur,0,Pizza,Casual Dining
No,No,JP Nagar,1200.0,Drinks & nightlife,Bannerghatta Road,1,Chinese,Bar
Yes,No,Banashankari,800.0,Buffet,Basavanagudi,1,Italian,Cafe
Yes,Yes,Jayanagar,1200.0,Delivery,Basavanagudi,1,Afghani,Casual Dining
Yes,No,Ulsoor,700.0,Desserts,Brigade Road,1,Greek,Bakery
Yes,No,Jayanagar,400.0,Delivery,Bannerghatta Road,1,Chinese,Quick Bites
No,No,Bannerghatta Road,200.0,Desserts,Bannerghatta Road,1,Ice Cream,Dessert Parlor
Yes,Yes,Cunningham Road,1300.0,Delivery,Brigade Road,1,Thai,Pub
Yes,Yes,St. Marks Road,1700.0,Dine-out,Brigade Road,1,Asian,Bar
Yes,Yes,Sarjapur Road,800.0,Delivery,Bellandur,1,North Indian,Casual Dining
Yes,No,Church Street,650.0,Cafes,Brigade Road,1,Steak,Cafe
No,Yes,MG Road,1500.0,Dine-out,Brigade Road,1,Continental,Pub
Yes,Yes,Indiranagar,1200.0,Delivery,Brigade Road,1,North Indian,Casual Dining
Yes,No,Sarjapur Road,400.0,Delivery,Bellandur,1,North Indian,Delivery
Yes,Yes,Cunningham Road,1800.0,Buffet,Brigade Road,1,South Indian,Casual Dining
No,Yes,Residency Road,3500.0,Dine-out,Brigade Road,1,Kerala,Fine Dining
No,No,Church Street,900.0,Delivery,Brigade Road,1,Continental,Casual Dining
Yes,No,Church Street,500.0,Cafes,Brigade Road,1,Tea,Cafe
No,Yes,Jayanagar,800.0,Cafes,Basavanagudi,1,Italian,Casual Dining
Yes,No,Banashankari,500.0,Dine-out,Banashankari,1,Biryani,Quick Bites
Yes,No,Basavanagudi,550.0,Delivery,Banashankari,1,North Indian,Casual Dining
Yes,No,Lavelle Road,300.0,Desserts,Brigade Road,1,Desserts,Dessert Parlor
Yes,No,HSR,500.0,Delivery,Bellandur,1,Ice Cream,Dessert Parlor
Yes,No,Bellandur,600.0,Delivery,Bellandur,0,Kebab,Casual Dining
Yes,No,Jayanagar,200.0,Delivery,Basavanagudi,1,South Indian,Quick Bites
Yes,No,Bannerghatta Road,800.0,Dine-out,Bannerghatta Road,1,Chinese,Casual Dining
Yes,No,Sarjapur Road,800.0,Dine-out,Bellandur,1,Vietnamese,Casual Dining
Yes,No,Basavanagudi,600.0,Dine-out,Basavanagudi,1,Italian,Cafe
No,Yes,Jayanagar,950.0,Dine-out,Basavanagudi,1,North Indian,Casual Dining
Yes,No,Richmond Road,850.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,No,Basavanagudi,200.0,Dine-out,Banashankari,1,Fast Food,Quick Bites
No,No,Bellandur,600.0,Dine-out,Bellandur,0,Bakery,Quick Bites
No,Yes,Residency Road,2000.0,Dine-out,Brigade Road,1,Modern Indian,Microbrewery
No,No,Sarjapur Road,300.0,Dine-out,Bellandur,0,Momos,Quick Bites
Yes,Yes,MG Road,1500.0,Delivery,Brigade Road,1,American,Casual Dining
Yes,Yes,Indiranagar,1200.0,Delivery,Brigade Road,1,Indonesian,Casual Dining
No,Yes,Bellandur,1600.0,Drinks & nightlife,Bellandur,1,Italian,Casual Dining
No,No,Richmond Road,1000.0,Buffet,Brigade Road,0,North Indian,Cafe
Yes,No,Bannerghatta Road,800.0,Delivery,Bannerghatta Road,1,Vietnamese,Casual Dining
No,Yes,JP Nagar,1200.0,Delivery,Bannerghatta Road,1,Continental,Casual Dining
Yes,No,Brigade Road,350.0,Dine-out,Brigade Road,0,Chinese,Quick Bites
No,No,Commercial Street,500.0,Dine-out,Brigade Road,1,Chinese,Casual Dining
Yes,Yes,Banashankari,600.0,Delivery,Basavanagudi,1,Italian,Cafe
Yes,No,Jayanagar,250.0,Delivery,Banashankari,0,Beverages,Beverage Shop
Yes,Yes,Shanti Nagar,1200.0,Dine-out,Brigade Road,1,North Indian,Casual Dining
Yes,No,Bannerghatta Road,600.0,Delivery,Bannerghatta Road,0,Japanese,Casual Dining
Yes,Yes,Sarjapur Road,1200.0,Drinks & nightlife,Bellandur,1,American,Casual Dining
Yes,No,HSR,850.0,Delivery,Bellandur,1,Chinese,Casual Dining
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Healthy Food,Casual Dining
Yes,No,BTM,400.0,Delivery,Bannerghatta Road,1,Bengali,Quick Bites
No,Yes,Sarjapur Road,1900.0,Dine-out,Bellandur,1,North Indian,Pub
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,1,Street Food,Takeaway
Yes,No,Bannerghatta Road,600.0,Dine-out,Bannerghatta Road,0,Mangalorean,Quick Bites
No,No,Basavanagudi,550.0,Delivery,Banashankari,1,North Indian,Cafe
Yes,Yes,JP Nagar,1000.0,Buffet,Bannerghatta Road,1,BBQ,Casual Dining
No,Yes,Residency Road,3400.0,Buffet,Brigade Road,1,European,Fine Dining
Yes,No,Banashankari,800.0,Delivery,Basavanagudi,1,Momos,Cafe
Yes,No,Sarjapur Road,1500.0,Dine-out,Bellandur,1,Finger Food,Casual Dining
Yes,No,Bellandur,800.0,Delivery,Bellandur,0,North Indian,Casual Dining
Yes,No,Basavanagudi,600.0,Delivery,Banashankari,1,North Indian,Casual Dining
Yes,No,Sarjapur Road,700.0,Delivery,Bellandur,1,North Indian,Casual Dining
No,Yes,Bellandur,1600.0,Pubs and bars,Bellandur,1,Mexican,Bar
No,No,JP Nagar,1000.0,Delivery,Bannerghatta Road,1,Continental,Bar
Yes,No,HSR,750.0,Delivery,Bellandur,1,Burger,Cafe
Yes,No,Sarjapur Road,650.0,Delivery,Bellandur,1,Biryani,Delivery
No,No,Basavanagudi,300.0,Dine-out,Basavanagudi,1,North Indian,Quick Bites
Yes,Yes,JP Nagar,700.0,Dine-out,Bannerghatta Road,1,Italian,Casual Dining
Yes,No,Cunningham Road,400.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,Yes,Lavelle Road,1700.0,Delivery,Brigade Road,1,BBQ,Pub
Yes,No,Koramangala 6th Block,300.0,Delivery,Brigade Road,1,Burger,Delivery
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,North Indian,Microbrewery
Yes,No,Bannerghatta Road,600.0,Delivery,Bannerghatta Road,1,North Indian,Food Court
Yes,Yes,Jayanagar,700.0,Dine-out,Basavanagudi,1,Biryani,Casual Dining
Yes,No,Marathahalli,550.0,Dine-out,Bellandur,0,North Indian,Casual Dining
Yes,No,Richmond Road,700.0,Dine-out,Brigade Road,1,Pizza,Cafe
Yes,No,Sarjapur Road,400.0,Delivery,Bellandur,1,Healthy Food,Delivery
No,Yes,Marathahalli,1500.0,Buffet,Bellandur,1,European,Casual Dining
Yes,Yes,JP Nagar,700.0,Delivery,Bannerghatta Road,1,American,Casual Dining
Yes,Yes,JP Nagar,1200.0,Delivery,Basavanagudi,1,Continental,Pub
Yes,No,BTM,300.0,Delivery,Bannerghatta Road,1,Street Food,Quick Bites
Yes,No,Lavelle Road,600.0,Delivery,Brigade Road,1,Desserts,Bakery
No,Yes,Marathahalli,1500.0,Dine-out,Bellandur,1,BBQ,Bar
Yes,No,Church Street,700.0,Delivery,Brigade Road,1,Burger,Cafe
Yes,No,Banashankari,550.0,Dine-out,Basavanagudi,1,Momos,Cafe
Yes,Yes,Ulsoor,1000.0,Delivery,Brigade Road,1,Goan,Casual Dining
No,Yes,Shanti Nagar,800.0,Desserts,Brigade Road,1,Modern Indian,Casual Dining
Yes,No,JP Nagar,500.0,Delivery,Basavanagudi,0,Biryani,Takeaway
No,Yes,Sarjapur Road,1500.0,Dine-out,Bellandur,1,Continental,Casual Dining
Yes,No,Jayanagar,650.0,Cafes,Basavanagudi,1,Cafe,Cafe
Yes,No,Basavanagudi,400.0,Dine-out,Basavanagudi,1,Fast Food,Quick Bites
Yes,No,Brigade Road,650.0,Cafes,Brigade Road,1,Cafe,Cafe
Yes,No,Banashankari,600.0,Cafes,Banashankari,0,Cafe,Quick Bites
Yes,Yes,Banashankari,800.0,Delivery,Banashankari,1,Mughlai,Casual Dining
Yes,Yes,Jayanagar,1200.0,Dine-out,Basavanagudi,1,Asian,Casual Dining
Yes,Yes,Jayanagar,800.0,Delivery,Basavanagudi,1,Beverages,Cafe
Yes,No,Banashankari,800.0,Dine-out,Banashankari,1,Italian,Casual Dining
Yes,No,Jayanagar,600.0,Dine-out,Basavanagudi,1,Andhra,Casual Dining
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Chinese,Casual Dining
Yes,No,JP Nagar,650.0,Delivery,Basavanagudi,0,Bengali,Casual Dining
Yes,No,BTM,600.0,Delivery,Bannerghatta Road,1,North Indian,Casual Dining
No,No,Brigade Road,1500.0,Dine-out,Brigade Road,1,South Indian,Bar
Yes,No,Banashankari,500.0,Desserts,Basavanagudi,1,Desserts,Dessert Parlor
Yes,No,Domlur,650.0,Delivery,Brigade Road,1,Biryani,Delivery
Yes,No,Jayanagar,500.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
Yes,Yes,Bellandur,600.0,Dine-out,Bellandur,1,Chinese,Casual Dining
Yes,No,Banashankari,550.0,Cafes,Banashankari,1,Italian,Cafe
No,No,Residency Road,800.0,Dine-out,Brigade Road,1,Biryani,Casual Dining
Yes,No,JP Nagar,100.0,Delivery,Bannerghatta Road,1,South Indian,Quick Bites
Yes,No,Jayanagar,750.0,Delivery,Basavanagudi,1,North Indian,Casual Dining
Yes,Yes,Banashankari,800.0,Dine-out,Basavanagudi,1,Indonesian,Casual Dining
No,Yes,Bellandur,1500.0,Buffet,Bellandur,0,Mediterranean,Lounge
Yes,Yes,Church Street,1500.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,No,HSR,150.0,Delivery,Bellandur,0,Fast Food,Quick Bites
Yes,No,Sarjapur Road,700.0,Dine-out,Bellandur,1,Street Food,Casual Dining
No,No,St. Marks Road,900.0,Cafes,Brigade Road,1,American,Cafe
Yes,Yes,Jayanagar,1200.0,Dine-out,Basavanagudi,1,Seafood,Pub
No,No,Jayanagar,1200.0,Dine-out,Basavanagudi,1,North Indian,Food Court
Yes,No,Basavanagudi,500.0,Delivery,Basavanagudi,1,Burger,Quick Bites
No,No,Residency Road,800.0,Dine-out,Brigade Road,1,Afghan,Casual Dining
Yes,No,Bannerghatta Road,400.0,Dine-out,Bannerghatta Road,1,North Indian,Quick Bites
Yes,Yes,Church Street,1400.0,Dine-out,Brigade Road,1,Chinese,Casual Dining
Yes,Yes,Church Street,1700.0,Delivery,Brigade Road,1,Momos,Casual Dining
Yes,No,Jayanagar,750.0,Delivery,Bannerghatta Road,1,Continental,Cafe
No,Yes,Lavelle Road,1200.0,Dine-out,Brigade Road,1,Mediterranean,Bar
Yes,No,BTM,400.0,Delivery,Bannerghatta Road,1,Bengali,Quick Bites
Yes,Yes,Marathahalli,750.0,Delivery,Bellandur,1,Hyderabadi,Casual Dining
Yes,No,Banashankari,700.0,Delivery,Basavanagudi,1,Italian,Cafe
Yes,No,Jayanagar,700.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
No,No,Lavelle Road,1400.0,Desserts,Brigade Road,1,Italian,Cafe
Yes,No,Banashankari,500.0,Dine-out,Banashankari,1,Fast Food,Quick Bites
Yes,Yes,Bellandur,1500.0,Drinks & nightlife,Bellandur,1,North Indian,Bar
No,No,Bannerghatta Road,250.0,Dine-out,Bannerghatta Road,0,South Indian,Quick Bites
Yes,No,Sarjapur Road,1500.0,Drinks & nightlife,Bellandur,1,American,Bar
Yes,No,Bellandur,500.0,Desserts,Bellandur,1,North Indian,Casual Dining
No,No,Church Street,1100.0,Cafes,Brigade Road,1,Cafe,Cafe
No,Yes,MG Road,2500.0,Cafes,Brigade Road,1,Italian,Casual Dining
Yes,Yes,Bannerghatta Road,600.0,Delivery,Bannerghatta Road,0,North Indian,Casual Dining
Yes,Yes,Marathahalli,900.0,Delivery,Bellandur,1,North Indian,Casual Dining
Yes,Yes,Bannerghatta Road,1000.0,Delivery,Bannerghatta Road,1,Fast Food,Casual Dining
Yes,No,Basavanagudi,500.0,Dine-out,Basavanagudi,1,North Indian,Casual Dining
No,No,Ulsoor,2200.0,Buffet,Brigade Road,1,North Indian,Casual Dining
Yes,No,Basavanagudi,800.0,Delivery,Banashankari,1,Andhra,Casual Dining
Yes,Yes,Sarjapur Road,1600.0,Dine-out,Bellandur,1,Continental,Microbrewery
Yes,No,Bellandur,500.0,Delivery,Bellandur,0,Pizza,Casual Dining
Yes,Yes,Marathahalli,750.0,Delivery,Bellandur,1,Street Food,Casual Dining
Yes,No,Banashankari,250.0,Delivery,Basavanagudi,0,Tibetan,Quick Bites
No,No,Infantry Road,1000.0,Buffet,Brigade Road,0,Chinese,Casual Dining
Yes,Yes,Lavelle Road,1600.0,Dine-out,Brigade Road,1,Pizza,Casual Dining
Yes,Yes,Sarjapur Road,1300.0,Buffet,Bellandur,1,Continental,Casual Dining
Yes,Yes,Sarjapur Road,1500.0,Delivery,Bellandur,1,Continental,Casual Dining
Yes,No,Sarjapur Road,800.0,Dine-out,Bellandur,1,Vietnamese,Casual Dining
Yes,No,Ulsoor,700.0,Desserts,Brigade Road,1,Bakery,Bakery
Yes,No,Bannerghatta Road,400.0,Delivery,Bannerghatta Road,1,North Indian,Quick Bites
Yes,No,Bellandur,300.0,Delivery,Bellandur,1,North Indian,Quick Bites
Yes,No,Banashankari,700.0,Dine-out,Basavanagudi,1,Cafe,Cafe
Yes,No,Jayanagar,750.0,Delivery,Basavanagudi,1,Asian,Cafe
No,Yes,MG Road,2500.0,Cafes,Brigade Road,1,South Indian,Casual Dining
No,No,Basavanagudi,1100.0,Dine-out,Basavanagudi,0,Chinese,Pub
Yes,No,Banashankari,500.0,Dine-out,Banashankari,1,Fast Food,Quick Bites
Yes,No,Sarjapur Road,250.0,Delivery,Bellandur,0,Fast Food,Quick Bites
Yes,No,Jayanagar,850.0,Dine-out,Basavanagudi,0,Thai,Casual Dining
Yes,Yes,Bannerghatta Road,1000.0,Delivery,Bannerghatta Road,1,Arabian,Casual Dining
Yes,No,Lavelle Road,600.0,Delivery,Brigade Road,1,Italian,Bakery
Yes,No,JP Nagar,600.0,Delivery,Bannerghatta Road,1,Burger,Cafe
No,No,Church Street,900.0,Delivery,Brigade Road,1,Beverages,Cafe
Yes,No,Brigade Road,2000.0,Dine-out,Brigade Road,1,Chinese,Quick Bites
Yes,No,JP Nagar,650.0,Cafes,Bannerghatta Road,1,Beverages,Cafe
No,Yes,Lavelle Road,1000.0,Buffet,Brigade Road,1,Mughlai,Casual Dining
Yes,No,Banashankari,500.0,Delivery,Basavanagudi,0,North Indian,Casual Dining
Yes,No,Marathahalli,550.0,Dine-out,Bellandur,0,North Indian,Casual Dining
No,Yes,Ulsoor,2800.0,Buffet,Brigade Road,1,American,Fine Dining
Yes,Yes,Marathahalli,1100.0,Delivery,Bellandur,1,North Indian,Bar
Yes,No,Shanti Nagar,250.0,Delivery,Basavanagudi,1,North Indian,Quick Bites
Yes,No,Bellandur,400.0,Dine-out,Bellandur,1,Salad,Cafe
No,Yes,Brigade Road,1300.0,Delivery,Brigade Road,1,Continental,Casual Dining
Yes,No,Basavanagudi,300.0,Dine-out,Basavanagudi,1,South Indian,Quick Bites
Yes,No,Lavelle Road,1600.0,Delivery,Brigade Road,1,Italian,Casual Dining
No,No,Jayanagar,400.0,Cafes,Basavanagudi,1,Cafe,Cafe
Yes,No,JP Nagar,600.0,Delivery,Bannerghatta Road,1,Thai,Casual Dining
Yes,Yes,Sarjapur Road,1500.0,Delivery,Bellandur,1,Continental,Microbrewery
Yes,Yes,Brigade Road,1600.0,Delivery,Brigade Road,1,Continental,Bar
Yes,Yes,Banashankari,800.0,Dine-out,Banashankari,1,Thai,Casual Dining
Yes,No,Lavelle Road,600.0,Cafes,Brigade Road,1,Cafe,Cafe
Yes,Yes,Sarjapur Road,1600.0,Drinks & nightlife,Bellandur,1,Continental,Microbrewery
No,No,St. Marks Road,900.0,Dine-out,Brigade Road,1,Steak,Cafe
Yes,No,Basavanagudi,550.0,Delivery,Basavanagudi,1,South Indian,Casual Dining
Yes,Yes,MG Road,1200.0,Dine-out,Brigade Road,1,Burger,Cafe
Yes,Yes,Indiranagar,1400.0,Delivery,Brigade Road,1,Italian,Delivery
Yes,No,Bellandur,400.0,Desserts,Bellandur,1,Ice Cream,Dessert Parlor
Yes,No,Jayanagar,300.0,Desserts,Basavanagudi,1,Desserts,Dessert Parlor
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,Seafood,Bar
Yes,No,Bellandur,500.0,Delivery,Bellandur,1,North Indian,Takeaway
No,No,Banashankari,1200.0,Delivery,Banashankari,1,North Indian,Pub
Yes,No,Banashankari,400.0,Delivery,Banashankari,0,Biryani,Quick Bites
Yes,No,Banashankari,750.0,Dine-out,Banashankari,0,Fast Food,Casual Dining
Yes,Yes,JP Nagar,1100.0,Drinks & nightlife,Bannerghatta Road,1,Italian,Casual Dining
No,No,Bannerghatta Road,500.0,Delivery,Bannerghatta Road,1,Healthy Food,Cafe
Yes,No,Richmond Road,700.0,Delivery,Brigade Road,1,Continental,Cafe
